should've,should have
shouldn't,should not
could've,could have
there'll,there will
would've,would have
couldn't,could not
there're,there are
these're,these are
those're,those are
wouldn't,would not
that'll,that will
they'll,they will
they've,they have
doesn't,does not
haven't,have not
there's,there is
they're,they are
weren't,were not
she'll,she will
you'll,you will
aren't,are not
didn't,did not
hadn't,had not
hasn't,has not
wasn't,was not
you're,you are
you've,you have
won't,will not
he'll,he will
it'll,it will
we'll,we will
we've,we have
can't,cannot
don't,do not
isn't,is not
she's,she is
we're,we are
I'll,I will
I've,I have
he's,he is
it's,it is
I'm,I am
